# Stockfish 19, depth 10, Threads 1, White-point-of-view centipawns clipped to +-1500
fen,cp
8/6P1/8/8/8/5k2/7K/8 b - - 0 78,534
2rq1rk1/1p2bppp/p1npbn2/4p3/4P3/1NN2B2/PPP1QPPP/R1BR2K1 w - - 10 12,16
2rqr1k1/1p2bppp/p1npbn2/4p3/4P1P1/1NN2B2/PPP1QP1P/R1BR2K1 w - - 1 13,-36
2rqr1k1/1p1nbppp/p1npb3/4p1P1/4P3/1NN2B2/PPP1QP1P/R1BR2K1 w - - 1 14,-63
2rqr1k1/1p1nb1pp/p1npbp2/4p1P1/P3P2P/1NN2B2/1PP1QP2/R1BR2K1 b - - 0 15,-217
2rqr1k1/1p1nb1pp/p1npb3/4p1P1/P3P3/1NN2B2/1PP1QP2/R1BR2K1 b - - 0 16,-384
2rqr1k1/1p2b1pp/pnnp4/2N1p1P1/P1b1P3/2N2B2/1PP1QP2/R1BR2K1 w - - 3 18,-398
2r1r1k1/1q2b1pp/pn1p4/4p1P1/P1P1P3/2N2B2/4QP2/n1BR2K1 w - - 0 23,-315
1r2r1k1/1q2b1pp/pn1p4/4p1P1/P1P1P1B1/2N5/1Q3P2/n1BR2K1 b - - 3 24,-236
4rk2/1r2b1pp/p2pB3/4p1P1/N1PnP3/B7/5P2/3R2K1 w - - 3 29,-504
4rk2/1r2b1pp/p2p4/3Bp1P1/N1PnP3/B7/5P2/3R2K1 b - - 4 29,-455
4rk2/4b1pp/p2p4/3Bp1P1/N1PnP3/Br6/5P2/3R2K1 w - - 5 30,-455
5k2/6pp/p1Bb4/4p1P1/4P2n/8/1r3P2/3R1K2 b - - 1 36,-653
8/4k1pp/p1Bb4/4p1P1/4P2n/8/1r3P2/3R1K2 w - - 2 37,-532
8/4k1pp/p1Bb4/4p1P1/4P2n/3R4/4KP2/1r6 b - - 5 38,-700
8/4k3/p1Bb3p/4p3/4P2n/7R/1r3P2/5K2 b - - 1 41,-638
8/4k3/p1Bb3p/4p3/4P2n/7R/4KP2/1r6 b - - 3 42,-559
8/4k3/p1rb3R/4p3/4P3/8/4KP2/8 b - - 0 44,-573
8/4k3/2rb3R/p3p3/4P3/8/4KP2/8 w - - 0 45,-495
8/4k3/2rb3R/p3p3/4P3/3K4/5P2/8 b - - 1 45,-536
8/4k3/2rb3R/4p3/p3P3/3K4/5P2/8 w - - 0 46,-461
8/4k3/2rb3R/4P3/4Kp2/p7/8/8 b - - 1 48,-490
3k4/R7/8/8/5K2/8/p2r4/8 b - - 0 52,-6
3k4/R7/8/8/3r4/4K3/p7/8 b - - 2 53,3
3k4/R7/8/8/6r1/5K2/p7/8 b - - 4 54,-1
r1bqkb1r/1p1n1ppp/p2p1n2/4p3/4P3/1NN5/PPP1BPPP/R1BQK2R w KQkq - 2 8,69
r1bqkb1r/1p1n1ppp/p2p1n2/4p3/4P3/1NN5/PPP1BPPP/R1BQ1RK1 b kq - 3 8,67
r1bqk2r/1p1nbppp/p2p1n2/4p3/4P3/1NN5/PPP1BPPP/R1BQ1RK1 w kq - 4 9,61
r1bq1rk1/1p1nbppp/p2p1n2/4p3/4P3/1NN2B2/PPP2PPP/R1BQ1RK1 w - - 6 10,30
r1bq1rk1/1p2bppp/pn1p1n2/4p3/4P3/2N1BB2/PPPN1PPP/R2Q1RK1 b - - 9 11,21
2rq1rk1/1p2bppp/pn1pbn2/4p3/4P3/2N1BB2/PPPNQPPP/R4RK1 w - - 12 13,9
2rq1rk1/1p2bppp/pn1pbn2/4p3/4P3/2N1BB2/PPPNQPPP/R2R2K1 b - - 13 13,-1
2rqr1k1/1p2bppp/pn1pbn2/4p3/P3P3/2N1BB2/1PPNQPPP/R2R2K1 b - - 0 14,33
2r1r1k1/1pq1bppp/pn1pbn2/P3p3/4P3/2N1BB2/1PPNQPPP/R2R2K1 b - - 0 15,50
2r1r1k1/1p1qbp2/p2pb1p1/P3p1p1/4P3/2N2BQP/1PPB4/R2R2K1 w - - 0 25,557
2r1r1k1/1p1q1p2/p2p2p1/P3p3/4P2Q/2N2B1b/1PP5/R2R2K1 b - - 1 27,454
2r3k1/1prq1p2/p2p2p1/P3p3/2b1P3/2NR1B2/1PP3Q1/R5K1 w - - 8 31,541
2r3k1/1prq1p2/p2p2p1/P3p3/2b1P3/2N2B2/1PPR2Q1/R5K1 b - - 9 31,460
2r3k1/1prq1p2/p2pb1p1/P3p3/4P3/2N2B2/1PPR2Q1/R5K1 w - - 10 32,404
6k1/1prq1p2/p1rpb1p1/P3p1Q1/4P3/2NR1B2/1PP5/3R2K1 b - - 15 34,431
6k1/1prq1p2/p1rp2p1/P3p1Q1/2b1P3/2NR1B2/1PP5/3R2K1 w - - 16 35,563
6k1/1prq1p2/p1rp2p1/P3p1Q1/2b1P3/2N2B2/1PPR4/3R2K1 b - - 17 35,550
6k1/1prq1p2/p1rpbQp1/P3p3/4P3/2N2B2/1PPR4/3R2K1 b - - 19 36,578
6k1/5p2/pr1p3R/4p1p1/4P3/5B2/2P5/3R2K1 b - - 1 45,802
6k1/5p2/3R4/p3p1p1/4P3/1rP2B2/8/3R2K1 w - - 1 48,792
6k1/5p2/8/4p1p1/p3P3/1rPR1B2/8/3R2K1 w - - 0 49,722
6k1/5p2/8/4p3/4P3/prPR4/8/R2B2K1 b - - 1 51,732
6k1/8/6p1/4p3/2P1P3/p7/8/R2B2K1 b - - 0 54,736
5k2/8/6p1/4p3/2P1P3/R7/8/3B2K1 b - - 0 55,748
8/5k2/6p1/4p3/2P1P3/R7/8/3B2K1 w - - 1 56,739
8/5k2/6p1/2P1p3/4P3/R7/8/3B2K1 b - - 0 56,725
8/4k3/6p1/2P1p3/4P3/R7/8/3B2K1 w - - 1 57,748
8/4k3/R5p1/2P1p3/4P3/8/8/3B2K1 b - - 2 57,735
1k6/4R3/2P5/4p3/4P3/1B6/8/6K1 b - - 2 63,771
8/1kP1R3/8/4p3/4P3/1B6/8/6K1 w - - 1 65,1040
r1bqkb1r/1p3ppp/p1nppn2/8/4PP2/1NN5/PPP3PP/R1BQKB1R w KQkq - 1 8,24
r1bq1rk1/1p2bppp/p1nppn2/8/4PP2/1NN5/PPP2KPP/R1BQ1B1R w - - 5 10,-133
r1bq1rk1/1p2bppp/p1nppn2/8/4PP2/1NN1B3/PPP2KPP/R2Q1B1R b - - 6 10,-178
r1bq1rk1/1p2bppp/p1n1pn2/2Np4/4PP2/2N1B3/PPP2KPP/R2Q1B1R b - - 1 11,-761
r1b2k2/1p3ppp/pqn1p3/8/4pP2/8/PPP1K1PP/R2Q1B1R w - - 0 16,-294
r1b2k2/1p3ppp/pq2p3/8/3npP2/1P6/P1P3PP/R2QKB1R b - - 2 17,-394
r1b2k2/1p3ppp/p3p3/8/1q1npP2/1P6/P1P2KPP/R2Q1B1R b - - 4 18,-335
r1b2k2/1p3ppp/p3p3/2q5/3npP2/1P6/P1P2KPP/R2Q1B1R w - - 5 19,-369
r1b2k2/1p3ppp/p3p3/8/3n1P2/1Pq5/P1P1p1PP/R2Q1BKR w - - 0 22,-386
r1b2k2/1p3ppp/p3p3/8/3n1P2/1Pq5/P1P3PP/R2Q1K1R w - - 2 24,-498
r1b3k1/1p3ppp/p3p3/8/3n1P1P/1Pq5/P1P3P1/R2Q1K1R w - - 1 25,-456
r5k1/1b3ppp/p3p3/1p6/3n1P1P/1Pq5/P1P3P1/2RQ1KR1 w - - 2 27,-555
r5k1/1b3ppp/p3p3/1p6/3n1P1P/1P1Q4/PqP3P1/2R2KR1 w - - 4 28,-506
r5k1/1b3ppp/p3p3/1p6/P4P1n/1P6/1qPQ2P1/2R2KR1 w - - 0 30,-668
r5k1/1b3ppp/4p3/1p6/5P1n/1P6/1qPQ2P1/2R2KR1 w - - 0 31,-672
r5k1/1b3ppp/4p3/1p6/5P1n/1P6/1qPQ2P1/4RKR1 b - - 1 31,-750
r5k1/1b3ppp/4p3/1p3n2/5P2/1P6/1qPQ2P1/4RKR1 w - - 2 32,-627
r5k1/1b3ppp/4p3/1p6/5P2/1P4n1/1qPQ2P1/2R1K1R1 b - - 5 33,-863
r5k1/1b3ppp/8/1p2p3/4nP2/1P6/1qP3P1/2RQK1R1 w - - 0 35,-889
r5k1/1b3ppp/8/1p2q3/4n3/1P6/2P3P1/2RQK2R b - - 1 36,-1500
r5k1/1b3ppp/8/1p2q3/8/1P6/2P2KP1/2RR4 b - - 0 38,-1031
r5k1/1b3ppp/8/1p3q2/8/1P6/2P3P1/2RR2K1 b - - 2 39,-1000
r5k1/1b3ppp/8/1p4q1/8/1P6/2P3P1/2RR2K1 w - - 3 40,-1451
r5k1/1b3ppp/8/1p6/8/1P2K3/2P3q1/2RR4 b - - 1 41,-1353
r5k1/1b3ppp/8/1p6/3K4/1P3q2/2P5/2RR4 b - - 3 42,-1336
6k1/1b3ppp/1K6/1p1q4/8/1P6/2P5/8 w - - 2 46,-1011
6k1/6p1/b7/2q2p1p/2P5/8/1K6/8 w - - 0 52,-869
6k1/8/8/2q2ppp/2b5/8/8/1K6 b - - 1 54,-852
6k1/8/8/2qb1ppp/8/8/8/1K6 w - - 2 55,-863
6k1/8/8/2qb1pp1/7p/8/8/1K6 b - - 1 56,-962
rnbqkb1r/1p3ppp/p2ppn2/8/4PP2/1NN5/PPP3PP/R1BQKB1R b KQkq - 0 7,24
r1bqk2r/1p1nbppp/p2ppn2/8/3NPP2/2N5/PPP3PP/R1BQKB1R w KQkq - 3 9,19
r1bqk2r/1p1nbppp/p2ppn2/8/3NPP2/2NB4/PPP3PP/R1BQK2R b KQkq - 4 9,-28
r1b1k2r/1p1nbppp/pq1ppn2/8/3NPP2/2NB4/PPP3PP/R1BQK2R w KQkq - 5 10,-6
r1b1k2r/1p1nbppp/p2ppn2/8/1qBNPP2/2N5/PPP3PP/R1BQK2R w KQkq - 7 11,-38
r1b4r/1p1nbkpp/p2pNn2/8/1q1QPP2/2N5/PPP3PP/R1B1K2R b KQ - 2 13,-503
r1b4r/1p1nbkpp/p2p1n2/8/3NPP2/2N5/PPP3PP/R1B1K2R b KQ - 0 14,-517
r1b4r/1p2bkpp/p2p1n2/2n5/3NPP2/2N5/PPP3PP/R1B1K2R w KQ - 1 15,-417
r1b4r/1p2bkpp/p2p1n2/2n1P3/3N1P2/2N5/PPP3PP/R1B1K2R b KQ - 0 15,-373
r1br4/1p2bkpp/p2p4/4P3/3NnP2/8/PPP3PP/R1B2RK1 w - - 2 18,-439
r1br4/1p2bkpp/p2p4/4P3/3NnP2/1P6/P1P3PP/R1B2RK1 b - - 0 18,-557
r1b1r3/1p2bkpp/p2p4/4P3/3NnP2/1P6/P1P3PP/R1B2RK1 w - - 1 19,-362
r1b1r3/1p2bkpp/p2p4/4P3/3NnP2/1P6/P1P3PP/R1BR2K1 b - - 2 19,-638
r1b1r3/1p2bkp1/p2p4/4P2p/3NnP2/1P6/P1P3PP/R1B1R1K1 b - - 1 20,-520
r1b1r3/1p2bkp1/p7/2n1P2p/3N4/1P2B3/P1P3PP/R3R1K1 b - - 2 22,-555
r1b1r3/1p2bk2/p5p1/2n1P2p/3N4/1P2B3/P1P3PP/R3R1K1 w - - 0 23,-543
r1b1r1k1/1p2b3/p5p1/2n1P2p/P2N4/1P2B3/2P3PP/3RR1K1 b - - 2 24,-584
r3r1k1/1p2b3/p5p1/4P2p/P2Nn1b1/1P2B3/2PR2PP/4R1K1 w - - 5 26,-591
r3r1k1/1p2b3/p5p1/4P2p/P2Nn1b1/1P1RB3/2P3PP/4R1K1 b - - 6 26,-539
r3r1k1/1p6/p5p1/2n1P2p/Pb1N2b1/1PPRB3/6PP/4R1K1 w - - 1 28,-665
r3r1k1/1p6/p5p1/n3P2p/P7/2b1BN2/6PP/1R4K1 w - - 2 32,-651
r5k1/1R6/p5p1/4r2p/P7/8/6PP/6K1 b - - 0 36,-731
5rk1/1R6/p5p1/4r2p/P7/6P1/7P/6K1 b - - 0 37,-746
5rk1/1R6/p5p1/7p/P7/6P1/6KP/4r3 b - - 2 38,-782
5r2/7k/p5R1/7p/r7/6P1/6KP/8 w - - 1 41,-754
5r2/7k/p7/6Rp/8/6P1/r6P/6K1 b - - 4 42,-704
4r3/7k/p7/5R1p/8/6P1/r6P/6K1 b - - 6 43,-735
8/7k/p7/7p/8/6P1/7r/5K2 w - - 0 46,-708
8/7k/p7/7p/8/6P1/2r5/6K1 b - - 5 48,-705
8/7k/8/p6p/8/6P1/2r5/7K b - - 1 49,-713
r1bqkb1r/1p3ppp/p1nppn2/8/4PP2/1NN5/PPP1K1PP/R1BQ1B1R b kq - 2 8,-115
r1b1kb1r/1p2qppp/p1nppn2/8/4PP2/1NN5/PPP1K1PP/R1BQ1B1R w kq - 3 9,-10
r1b1kb1r/1p2qp1p/p1nppnp1/8/4PP2/1NN2K2/PPP3PP/R1BQ1B1R w kq - 0 10,-152
r1b1k2r/4qpbp/p1pppnp1/4P3/5P2/2N2K2/PPP3PP/R1BQ1B1R b kq - 0 12,-412
r1b2rk1/4qpbp/p3p1p1/3p4/5B2/P1PQ1K2/1P4PP/R4B1R b - - 0 17,-777
r3r1k1/1b2qpbp/p3p1p1/3p4/5B2/P1PQ1K2/1P4PP/4RB1R w - - 3 19,-643
r3r1k1/1b2qpbp/p5p1/3pp3/5B2/P1PQ2K1/1P4PP/4RB1R w - - 0 20,-694
r3r1k1/1b3pbp/p4qp1/3pp3/5B2/P1PQ4/1P3KPP/4RB1R w - - 2 21,-895
r3r1k1/1b3pbp/p5p1/3p4/5p2/P1P5/1P3KPP/4RB1R w - - 0 23,-696
r3r1k1/1b3pbp/p5p1/3p4/5p1P/P1P5/1P3KP1/4RB1R b - - 0 23,-735
r3r1k1/1b3pbp/p5p1/8/3p1p1P/P1P5/1P3KP1/4RB1R w - - 0 24,-708
4r1k1/1b3p1p/p5p1/4b3/2Pp1p1P/P7/1P3KP1/5B1R w - - 1 26,-656
4r1k1/1b3p1p/p5p1/2P1b3/3p1p1P/P7/1P3KP1/5B1R b - - 0 26,-808
4r1k1/1b3p2/p5p1/2P1b2p/2Bp1p1P/P7/1P3KP1/7R b - - 1 27,-674
4r3/1b3pk1/p5p1/2P1b2p/2Bp1p1P/P7/1P3KP1/7R w - - 2 28,-622
4r3/1b3pk1/p5p1/2P1b2p/1PBp1p1P/P7/5KP1/7R b - - 0 28,-686
4r1k1/1b3p2/p5p1/2P1b2p/1PBp3P/P4P2/5K2/4R3 b - - 0 30,-681
6k1/1b3p2/p5p1/2P4p/1PBp3P/P4PK1/8/4r3 w - - 0 32,-584
6k1/1b3p2/6p1/2r4p/3p3P/P5K1/4B3/8 w - - 0 39,-795
6k1/8/6p1/1r3p1p/3p1K1P/8/8/8 w - - 0 43,-661
6k1/8/6p1/1r3p1p/7P/3p1K2/8/8 w - - 0 44,-715
6k1/8/6p1/5p1p/7P/1r1pK3/8/8 w - - 2 45,-745
6k1/8/6p1/5p1p/7P/1r1p4/5K2/8 b - - 3 45,-775
6k1/8/6p1/7p/5p1P/1r1p4/5K2/8 w - - 0 46,-752
6k1/8/6p1/7p/5K1P/8/1r1p4/8 w - - 0 48,-1003
6k1/8/6p1/1r5p/5K1P/8/8/3q4 w - - 0 50,-1018
6k1/8/6p1/1r5p/7P/4K3/8/3q4 b - - 1 50,-1011
6k1/8/6p1/7p/1r5q/8/3K4/8 b - - 1 53,-1500
6k1/8/6p1/8/1r1q4/7p/8/5K2 b - - 1 56,-1500
6k1/8/6p1/8/3q4/7p/4K3/1r6 b - - 3 57,-1500
r1bqk2r/1p2bppp/p1nppn2/8/4PP2/1NN5/PPP1K1PP/R1BQ1B1R w kq - 3 9,-100
r1bq1rk1/4bppp/p1pppn2/8/4PP2/2N5/PPP1K1PP/R1BQ1B1R w - - 0 11,-158
r1bq1rk1/4bppp/p1pppn2/8/4PP2/2N3P1/PPP1K2P/R1BQ1B1R b - - 0 11,-287
r1bq1rk1/4bppp/p1p1pn2/3p4/4PP2/2N3P1/PPP1K2P/R1BQ1B1R w - - 0 12,-220
r1bq1rk1/4bppp/p3pn2/3p4/5P2/2N3P1/PPP1K2P/R1BQ1B1R w - - 0 13,-445
r1bq1rk1/4bppp/p3pn2/3p4/5P2/2N3P1/PPP1K1BP/R1BQ3R b - - 1 13,-475
r2q1rk1/1b2bppp/p3pn2/3p4/5P2/2N3P1/PPP1K1BP/R1BQ3R w - - 2 14,-243
r2q1rk1/1b2bppp/p3pn2/3p4/5P2/2N3P1/PPPBK1BP/R2Q3R b - - 3 14,-475
r2q1rk1/1b2bppp/p3p3/3p4/4nP2/2N3P1/PPPBK1BP/R2Q3R w - - 4 15,-207
r2q1rk1/1b2bp1p/p3p3/3p2p1/4nP2/2N2BP1/PPPBK2P/R2Q3R w - - 0 16,-187
1r1q1rk1/1b2bp1p/p3p3/3p2p1/4nP2/2N2BP1/PPPBK2P/R2QR3 w - - 2 17,-215
1r1q1rk1/1b2b2p/p3p3/3p1p2/P3nP2/2N2B2/1PPBK2P/R2QR3 w - - 0 19,-192
1r1q1r1k/1b2b2p/p3p3/3p1p2/P3nP2/2N2B2/1PPBK2P/R2Q2R1 w - - 2 20,-195
1r1q1r1k/1b2b2p/p3p3/5p2/P2pnP2/2N2B2/1PPB3P/R2Q1KR1 w - - 0 21,-575
1r1q1r1k/1b2b2p/p3p3/8/P2ppP2/5B2/1PPB3P/R2Q1KR1 w - - 0 22,-540
1r1q1r1k/1b2b2p/p3p3/8/P2ppPB1/8/1PPB3P/R2Q1KR1 b - - 1 22,-762
1r1q1r1k/1b2b2p/p3p3/8/P2p1PB1/4p3/1PPB3P/R2Q1KR1 w - - 0 23,-796
1r1q3k/1b2b2p/p3p3/8/P2p1rB1/4p3/1PP4P/R1BQK1R1 b - - 1 24,-870
1r5k/1b5p/p3p3/8/Pb3rBq/2p1p1R1/1P5P/R1BQK3 w - - 0 27,-1014
1rbqkb1r/1p3ppp/p1np1n2/4p1B1/4P3/N1N5/PPP2PPP/R2QKB1R b KQk - 3 9,6
1rbqkb1r/1p3pp1/p1np1n1p/4p1B1/4P3/N1N5/PPP2PPP/R2QKB1R w KQk - 0 10,38
1rbqkb1r/1p3p2/p1np1p1p/4p3/4P3/N1N5/PPP2PPP/R2QKB1R w KQk - 0 11,93
1rbqkb1r/1p3p2/p1np1p1p/4p3/2N1P3/2N5/PPP2PPP/R2QKB1R b KQk - 1 11,95
1rbqkb1r/5p2/p1np1p1p/1p2p3/2N1P3/2N5/PPP2PPP/R2QKB1R w KQk - 0 12,141
1rbqkbr1/5p2/p1np1p1p/1p2p3/4P3/2N1N3/PPP2PPP/R2QKB1R w KQ - 2 13,268
1rbqkbr1/5p2/p1np1p1p/1p2p3/4P3/1PN1N3/P1P2PPP/R2QKB1R b KQ - 0 13,118
1rbqk1r1/5pb1/p1np1p1p/1p2p3/4P3/1PN1N3/P1P2PPP/R2QKB1R w KQ - 1 14,196
1rbqk1r1/5pb1/p1np1p1p/1p2p3/4P3/PPN1N3/2P2PPP/R2QKB1R b KQ - 0 14,66
1rbqk1rb/5p2/p1np1p1p/1p2p3/4P3/PPN1N3/2P2PPP/R2QKB1R w KQ - 1 15,158
1rbqk1rb/5p2/p1np1p1p/1p2pN2/4P3/PPN5/2P2PPP/R2QKB1R b KQ - 2 15,12
1r1qk1rb/5p2/p1np1p1p/1p2pP2/8/PPN5/2P2PPP/R2QKB1R b KQ - 0 16,4
1r1qk1rb/5p2/p2p1p1p/1p2pP2/3n4/PPN5/2P2PPP/R2QKB1R w KQ - 1 17,43
1r1qk1rb/5p2/p2p1p1p/1p2pP2/3n2P1/PPN5/2P2P1P/R2QKB1R b KQ - 0 17,-248
1r1q1k1b/5p2/p2p1p1p/1B2pP2/6Q1/PPN5/3K1P1P/n6R w - - 1 21,365
1r1q1k1b/5p2/3p1p1p/1p2pP2/6Q1/PPN5/3K1P1P/R7 w - - 0 22,352
1r1q1k1b/5p2/3p1p1p/1p2pP2/6Q1/PPN5/3K1P1P/6R1 b - - 1 22,471
1r1q1k1b/5p2/5p1p/1p1ppP2/6Q1/PPN5/3K1P1P/6R1 w - - 0 23,664
1r4kb/4Qp2/5p1p/1p1ppP2/8/PPN5/3K1P1P/8 b - - 0 25,584
1r4kb/4Qp2/5p1p/1p2pP2/3p4/PPN5/3K1P1P/8 w - - 0 26,690
5rkb/4Qp2/5p1p/1N2pP2/3p4/PP6/3K1P1P/8 w - - 1 27,806
4Nrkb/4Qp2/5p2/4pP1p/3p4/PP6/3K1P1P/8 b - - 1 28,759
5rk1/5p2/5Q2/4pP2/3p3p/PP6/3K1P1P/8 b - - 0 30,904
4r3/5pk1/8/4pP2/1P1pQ3/P7/3K1P1P/8 b - - 2 34,843
4r3/6k1/5p2/4pP2/1P1pQ3/P7/3K1P1P/8 w - - 0 35,901
4r3/6k1/5p2/4pP2/1P1pQ2P/P7/3K1P2/8 b - - 0 35,836
3r4/6k1/5p2/4pP2/1P1pQP1P/P7/3K4/8 b - - 0 36,900
4r3/6k1/5p2/4pP1P/1P1pQP2/P7/3K4/8 b - - 0 37,843
8/4r1k1/8/4pP1P/1P1pQ3/P7/3K4/8 w - - 0 39,980
8/4P2Q/4k3/4p2P/1P1p4/P7/3K4/8 b - - 0 41,999
1rb1k2r/1p2bpp1/p1np1q1p/4p3/4P3/N1NB4/PPP2PPP/R2QK2R w KQk - 2 12,37
1rb1k2r/1p2bpp1/p1np1q1p/3Np3/4P3/N2B4/PPP2PPP/R2QK2R b KQk - 3 12,39
1rb2rk1/1p2bpp1/p1np3p/3Np1q1/2N1P3/3B4/PPP2PPP/R2Q1RK1 b - - 7 14,46
5rk1/4b1p1/prnpp2p/1p2p1q1/4P3/3BN3/PPP2PPP/R2Q1RK1 w - - 0 18,95
5rk1/4b1p1/pr1pp2p/1p2p3/3nPq2/3BN3/PPPQ1PPP/R4RK1 b - - 5 20,7
5rk1/4b1p1/pr2p2p/1p1pp3/3nPq2/3BN3/PPPQ1PPP/R4RK1 w - - 0 21,-7
6k1/5rp1/pr2pb1p/1p1pp3/1P1nPq2/3BNP1P/P1PQ2P1/R4RK1 b - - 0 23,-493
6k1/r5p1/p2rpb1p/3pp1q1/RPPnP3/3BNP1P/5QP1/3R2K1 b - - 0 28,-50
6k1/r5p1/p2rpb1p/4p1q1/RPNnP3/3B1P1P/5QP1/3R2K1 b - - 0 29,-30
3r2k1/r5p1/p3pb1p/4p1q1/RP1nP3/3BNP1P/5QP1/3R2K1 b - - 2 30,-91
6k1/r5p1/p2rpb1p/4p1q1/RP1nP3/3BNP1P/5QP1/3R2K1 w - - 3 31,71
6k1/r5p1/p2rpb1p/1P2p1q1/R2nP3/3BNP1P/5QP1/3R2K1 b - - 0 31,55
6k1/2r3p1/3rpb1p/pP2p3/3nPq2/R2BNP1P/5QP1/3R2K1 b - - 5 34,-289
6k1/2r3p1/3rp2p/pP2p3/3nPq1b/R2B1P1P/2N2QP1/3R2K1 w - - 8 36,-212
6k1/2r3p1/R3p2p/pP2p3/4P3/5P1P/6PK/8 b - - 3 44,230
2r3k1/8/4p2p/RP2p3/4P2K/5P2/6P1/8 b - - 0 48,360
6k1/8/4p2p/RP2p3/4P1PK/5P2/2r5/8 b - - 0 49,237
7k/8/4p2p/RP2p3/4P1P1/5PK1/1r6/8 w - - 3 51,215
1R6/6k1/4p2p/1P2p3/4P1P1/5PK1/1r6/8 b - - 6 52,365
1R6/8/1P2pk1p/4p3/4P1P1/5PK1/1r6/8 w - - 1 54,398
1R6/1P4k1/4p2p/1r2p3/4P1P1/5P2/6K1/8 b - - 4 56,407
1R6/1P4k1/1r2p2p/4p3/4P1P1/5P2/6K1/8 w - - 5 57,402
1R6/1P4k1/1r2p2p/4p3/4P1P1/5P2/6K1/8 b - - 10 59,394
1R6/1P3k2/4p2p/4p3/4P1P1/5P2/1r6/6K1 w - - 13 61,655
1R6/6k1/4p2p/4p3/4P1P1/5PK1/8/8 b - - 0 65,625
1R6/7k/4p2p/4p3/4P1P1/5PK1/8/8 w - - 1 66,670
8/4k3/8/2R1P3/5PK1/8/8/8 b - - 0 72,619
8/5k2/8/2R1PP2/6K1/8/8/8 b - - 0 73,707
8/2R5/5P2/4k3/6K1/8/8/8 w - - 0 76,1036
1rb1kb1r/1p3pp1/p1np1q1p/4p3/2N1P3/2N5/PPP2PPP/R2QKB1R b KQk - 1 11,58
1rb1kb1r/1p3pp1/p2p1q1p/4p3/2NnP3/2N5/PPP2PPP/R2QKB1R w KQk - 2 12,126
1rb1kb1r/1p3pp1/p2p2qp/3Np3/2NnP3/8/PPP2PPP/R2QKB1R w KQk - 4 13,141
1rb1kb1r/1p3pp1/p2p2qp/3Np3/2NnP3/5P2/PPP3PP/R2QKB1R b KQk - 0 13,80
1r2kb1r/1b3pp1/p2p2qp/1p1Np3/2PnP3/4NP2/PP4PP/R2QKB1R b KQk - 0 15,-35
2r1kb1r/1b3pp1/p2p2qp/1p1Np3/2PnP3/4NP2/PP4PP/R2QKB1R w KQk - 1 16,50
4kb1r/1b3pp1/p1rp3p/3Np1q1/Q1BnP3/4NP2/PP4PP/R4RK1 b k - 4 19,291
4kb1r/1b1q1pp1/2rp3p/Q2Np3/4P3/4NP2/PP4PP/R1R3K1 b k - 0 23,484
7r/2Qq1p2/r1bpk2p/4pN2/1P2P3/5P2/P5PP/R1R3K1 w - - 1 30,469
7r/3k1p2/r1bp3p/4pN2/1P2P3/2R2P2/P5PP/3R2K1 b - - 7 34,524
7r/3k1p2/r2p3p/4pN2/bP2P3/2R2P2/P5PP/3R2K1 w - - 8 35,535
7r/3k1p2/r2p3p/3RpN2/bP2P3/2R2P2/P5PP/6K1 b - - 9 35,561
8/2k2p1r/r1bR4/4pN1p/1P2P3/P2R1P2/6PP/6K1 w - - 0 39,799
8/2k2p1r/r1bR4/4pN1p/1P2P2P/P2R1P2/6P1/6K1 b - - 0 39,787
1r6/2k2p2/r1bR4/4pN1p/1P2P2P/P1R2P2/6P1/6K1 w - - 3 41,806
1r6/2k2p2/r1bR4/4pN1p/1P2P1PP/P1R2P2/8/6K1 b - - 0 41,677
1r6/2k2p2/r1bR4/4pN2/1P2P1PP/P1R5/8/6K1 b - - 0 42,682
1r6/5R2/rk6/4pN2/1P2b1PP/P1R5/8/6K1 w - - 1 45,743
1r6/8/k2N4/4p3/1P2b1PP/P1R5/8/6K1 b - - 1 47,503
1r6/8/k2N4/2Rbp3/1P4PP/P7/8/6K1 b - - 3 48,615
3r4/1k6/4R3/1N2p1P1/1P5P/P7/8/6K1 b - - 0 52,684
7r/k7/4R3/4pNP1/1P5P/P7/8/6K1 b - - 4 54,751
8/k7/8/4RNP1/1P5P/P7/5K2/3r4 b - - 2 56,769
3r4/1k4P1/8/5N2/1P5P/P3R3/5K2/8 w - - 1 60,937
3r4/1k2N1P1/8/8/1P5P/P3R3/5K2/8 b - - 2 60,831
6N1/1k6/8/8/1P5P/P3RK2/8/8 b - - 0 63,803
1k4N1/8/8/8/1P5P/P3RK2/8/8 w - - 1 64,827
8/1k6/5N2/8/1P5P/P3RK2/8/8 w - - 3 65,855
7Q/8/2k2N2/8/1P6/P3RK2/8/8 b - - 0 68,1252
1rb1kb1r/1p3pp1/p1np1q1p/4p3/4P3/N1N5/PPP2PPP/R2QKB1R w KQk - 0 11,43
1rb1kb1r/5pp1/p1np1q1p/1p2p3/4P3/N1NB4/PPP2PPP/R2QK2R w KQk - 0 12,44
1rb1kb1r/5pp1/p1np1q1p/1p2p3/4P3/N1NB4/PPP2PPP/R2Q1RK1 b k - 1 12,25
1rb1kbr1/5pp1/p1np1q1p/1p2p3/4P3/N1NB4/PPP2PPP/R2Q1RK1 w - - 2 13,192
1rb1kbr1/5pp1/p1np1q1p/1p2p3/4P3/N1NB4/PPP2PPP/R2QR1K1 b - - 3 13,89
